District,TotalFilings,Chapter7,Chapter11,Chapter12,Chapter13,Business,NonBusiness,Year
"OK, W    ",8095.0,6261,50,7,1777,271.0,7824.0,2010
UT       ,18478.0,12325,87,3,6063,670.0,17808.0,2010
WY       ,1562.0,1318,18,0,226,73.0,1489.0,2010
     11TH,226703.0,141114,1898,103,83576,8281.0,218422.0,2010
"AL, N    ",19840.0,10105,91,9,9635,410.0,19430.0,2010
"AL, M    ",8157.0,2413,42,5,5697,211.0,7946.0,2010
"AL, S    ",6166.0,2142,51,1,3972,130.0,6036.0,2010
"FL, N    ",5469.0,4810,40,2,617,315.0,5154.0,2010
"FL, M    ",66688.0,49756,773,28,16125,2856.0,63832.0,2010
"FL, S    ",40909.0,29772,388,5,10738,1709.0,39200.0,2010
"GA, N    ",56016.0,34202,331,9,21474,1863.0,54153.0,2010
"GA, M    ",12843.0,5246,79,33,7485,461.0,12382.0,2010
"GA, S    ",10615.0,2668,103,11,7833,326.0,10289.0,2010
CHAPTER 9,,,CHAPTER 15,,,,,2010
SC       ,1.0,045,MA       ,1,011,,,2010
"TX, S    ",1.0,057,"NY, N    ",1,021,,,2010
"IL, S    ",1.0,072,"NY, E    ",2,022,,,2010
"MO, W    ",1.0,086,"NY, S    ",31,023,,,2010
NE       ,2.0,087,"NY, W    ",1,024,,,2010
ID       ,1.0,09H,DE       ,50,030,,,2010
,,,"PA, E    ",11,032,,,2010
,,,"PA, M    ",1,033,,,2010
,,,"TX, E    ",1,056,,,2010
,,,"TX, S    ",2,057,,,2010
,,,"IL, N    ",1,070,,,2010
,,,"IN, N    ",1,073,,,2010
,,,AZ       ,4,09B,,,2010
,,,"CA, N    ",3,09C,,,2010
,,,"CA, C    ",1,09E,,,2010
,,,HI       ,1,09G,,,2010
,,,"FL, M    ",6,11E,,,2010
,,,"FL, S    ",6,11F,,,2010
"NY, S    ",12195.0,9854,555,3,1768,915.0,11280.0,2011
"NY, W    ",7087.0,5220,34,3,1830,264.0,6823.0,2011
VT       ,1140.0,926,1,3,210,46.0,1094.0,2011
    3RD  ,75776.0,56262,1158,24,18312,3078.0,72698.0,2011
DE       ,4219.0,2515,538,4,1143,645.0,3574.0,2011
NJ       ,37957.0,29878,322,3,7754,1215.0,36742.0,2011
"PA, E    ",13338.0,9085,116,8,4129,489.0,12849.0,2011
"PA, M    ",8797.0,6273,44,3,2476,283.0,8514.0,2011
"PA, W    ",11437.0,8489,136,6,2806,436.0,11001.0,2011
VI       ,28.0,22,2,0,4,10.0,18.0,2011
