,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
adlatte,0.0,84,33,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,48,0,0,0,0,0,0,48,0,31,0,0,0,0,0,0,47,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
justswipe,0.0,0,0,0,40,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,100,0,23,0,65,49,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,56,0,0
localoye,0.0,0,92,0,0,0,0,0,0,0,0,40,62,52,47,44,79,0,0,0,0,0,0,0,0,72,35,0,56,0,38,0,0,0,0,0,0,0,0,44,0,0,0,0,100,0,0,36,0,0,77,0
bandalong,0.0,44,70,0,0,88,0,0,86,0,100,85,0,0,0,0,0,0,0,0,96,0,0,0,51,0,0,45,0,0,0,43,46,44,0,0,0,0,0,0,0,0,0,80,0,0,65,49,0,0,46,0
uitox,0.0,0,12,0,0,17,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,14,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,100
vivaty,0.0,0,0,0,0,0,0,0,41,0,0,0,0,0,55,0,0,0,0,0,0,0,43,0,30,0,0,0,0,0,0,0,0,44,0,0,40,56,0,0,0,0,0,0,0,0,0,0,0,0,100,0
flickme,17.0,17,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
dramafever,100.0,68,69,92,62,64,63,68,65,93,60,71,43,43,64,52,60,53,74,34,49,55,63,58,85,50,48,37,30,39,49,62,34,50,47,51,55,40,42,39,33,39,52,78,31,41,43,37,42,45,29,0
infrafleet,0.0,46,0,0,0,0,96,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0
grabonrent,0.0,0,0,0,0,8,14,0,0,0,0,8,10,0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,9,15,0,12,0,100
